id,constant,name,animation,animation_routine,effect,power,type,accuracy,pp,high_crit,sfx,sfx_pitch_mod,sfx_tempo_mod,description_1,description_2
145,BUBBLE,BUBBLE,145,BubbleAnim,TWO_TO_FIVE_ATTACKS_EFFECT,15,WATER,100,25,false,SFX_BATTLE_24,$ff,$10,Shoots bubbles.,Hits 2-5 times.
146,DIZZY_PUNCH,DIZZY PUNCH,146,DizzyPunchAnim,THRASH_PETAL_DANCE_EFFECT,70,NORMAL,100,10,false,SFX_FAINT_FALL,$ff,$04,Punches 2-3 turns.,Confuses the user.
147,SPORE,SPORE,147,SporeAnim,SLEEP_EFFECT,0,GRASS,100,15,false,SFX_BATTLE_1C,$01,$ff,Releases spores.,Puts foe to sleep.
148,FLASH,FLASH,148,FlashAnim,CONFUSION_SIDE_EFFECT,70,ELECTRIC,100,20,false,SFX_BATTLE_13,$f8,$ff,A blinding flash.,May confuse foe.
149,PSYWAVE,PSYWAVE,149,PsywaveAnim,SPECIAL_DAMAGE_EFFECT,1,PSYCHIC_TYPE,100,15,false,SFX_BATTLE_0C,$f0,$f0,Psychic waves.,Random damage.
150,SPLASH,SPLASH,150,SplashAnim,SPLASH_EFFECT,0,WATER,100,40,false,SFX_BATTLE_0F,$08,$10,Splashes about.,
151,POWDER_SNOW,POWDER SNOW,151,PowderSnowAnim,FREEZE_SIDE_EFFECT,40,ICE,100,25,false,SFX_BATTLE_29,$f0,$e0,A snowy attack.,May freeze foe.
152,CRABHAMMER,CRABHAMMER,152,CrabHammerAnim,NO_ADDITIONAL_EFFECT,90,STEEL,95,10,true,SFX_SUPER_EFFECTIVE,$f0,$ff,Hits with claws.,High crit chance.
153,EXPLOSION,EXPLOSION,153,ExplosionAnim,EXPLODE_EFFECT,250,NORMAL,100,5,false,SFX_BATTLE_34,$10,$ff,Creates explosion.,Faints the user.
154,FURY_SWIPES,FURY SWIPES,154,FurySwipesAnim,TWO_TO_FIVE_ATTACKS_EFFECT,20,NORMAL,95,20,false,SFX_BATTLE_0E,$f0,$20,Swipes at the foe.,Hits 2-5 times.
155,BONEMERANG,BONEMERANG,155,BonemerangAnim,ATTACK_TWICE_EFFECT,50,GROUND,100,10,false,SFX_BATTLE_2B,$f0,$60,Toss a bonemerang.,Hits twice.
156,REST,REST,156,RestAnim,HEAL_EFFECT,0,MYSTERY,100,10,false,SFX_BATTLE_21,$12,$10,Goes to sleep.,Heals the user.
157,ROCK_SLIDE,ROCK SLIDE,157,RockSlideAnim,NO_ADDITIONAL_EFFECT,75,ROCK,95,10,false,SFX_BATTLE_36,$f0,$20,Pelts foe with a,rockslide.
158,CRUNCH,CRUNCH,158,CrunchAnim,DEFENSE_DOWN_SIDE_EFFECT,80,DARK,90,15,false,SFX_BATTLE_1E,$12,$ff,Crunches the foe.,May lower foe DEF.
159,SHADOW_TEAR,SHADOW TEAR,159,ShadowTearAnim,NO_ADDITIONAL_EFFECT,70,GHOST,100,20,true,SFX_NOT_VERY_EFFECTIVE,$01,$ff,Tears at the foe.,High crit chance.
160,CONVERSION,CONVERSION,160,ConversionAnim,CONVERSION_EFFECT,0,MYSTERY,100,30,false,SFX_BATTLE_33,$f0,$10,Switch type to,match the foe.
161,TRI_ATTACK,TRI ATTACK,161,TriAttackAnim,NO_ADDITIONAL_EFFECT,80,MYSTERY,100,10,false,SFX_BATTLE_29,$f8,$ff,Fires three beams.,Neutral damage.
162,SUPER_FANG,SUPER FANG,162,SuperFangAnim,SUPER_FANG_EFFECT,1,DARK,90,10,false,SFX_BATTLE_26,$f0,$ff,Cuts foe's HP by,half.
163,SLASH,SLASH,163,SlashAnim,NO_ADDITIONAL_EFFECT,70,NORMAL,100,20,true,SFX_NOT_VERY_EFFECTIVE,$01,$ff,A powerful slash.,High crit chance.
164,SUBSTITUTE,SUBSTITUTE,164,SubstituteAnim,SUBSTITUTE_EFFECT,0,MYSTERY,100,10,false,SFX_BATTLE_2C,$d8,$04,Cuts HP by 1/4 and,provides a decoy.
165,STRUGGLE,STRUGGLE,165,StruggleAnim,RECOIL_EFFECT,50,MYSTERY,100,10,false,SFX_BATTLE_0B,$00,$80,Struggle is real.,Hurts the user.
